event_id,symbol,suppressed_count
303908,USO,17
303908,XLE,17
281087,XLE,13
281087,RTX,13
281154,XLE,13
303908,BNO,13
281087,GD,12
279992,XLE,11
279992,RTX,11
280978,XLE,10
303893,USO,10
289930,USO,10
280978,RTX,10
303623,USO,9
281154,GD,9
281154,NOC,9
281154,RTX,9
303745,XLE,9
303737,XLE,9
303662,XLE,9
303623,XLE,9
236827,ITA,9
303893,XLE,9
26899,NOC,9
26899,RTX,9
26899,USO,9
26899,XLE,9
280978,GD,9
280978,NOC,9
303678,XLE,8
289930,XLE,8
303643,USO,7
236943,ITA,7
281072,USO,7
281154,USO,7
236943,NOC,7
26899,BNO,6
303678,USO,6
303623,BNO,5
303893,XOM,4
303893,SHEL,4
281072,XLE,4
281154,LMT,3
303737,USO,3
303893,BP,3
80892,HII,2
237033,ITA,2
237033,NOC,2
26899,GD,2
26899,ITA,2
26899,LMT,2
26899,XOM,2
303623,SHEL,2
303623,XOM,2
303643,XOM,2
303678,SHEL,2
303678,XOM,2
303745,USO,2
104393,RTX,1
190463,LMT,1
104393,NOC,1
167846,RTX,1
303923,USO,1
167846,NOC,1
167846,LMT,1
303923,XLE,1
167846,ITA,1
167846,GD,1
303745,SHEL,1
104393,LMT,1
160183,RTX,1
303745,XOM,1
160183,ITA,1
133118,RTX,1
133118,NOC,1
133118,LMT,1
133118,ITA,1
280978,LMT,1
237185,NOC,1
237185,ITA,1
133118,GD,1
190463,RTX,1
190463,NOC,1
