symbol,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
ADI,1,37.13802013521434,1.0,37.13802013521434,,,,37.13802013521434,37.13802013521434,,0
AMAT,1,-23.01005206461391,0.0,,-23.01005206461391,,0.0,-23.01005206461391,,-23.01005206461391,1
AMZN,1,-8.958905736632076,0.0,,-8.958905736632076,,0.0,-8.958905736632076,,-8.958905736632076,1
BA,3,102.99175837958335,0.3333333333333333,108.08788510448504,-2.548063362450847,42.4196221716092,21.2098110858046,34.330586126527784,108.08788510448504,-2.548063362450847,2
BGC,1,-11.793166814249243,0.0,,-11.793166814249243,,0.0,-11.793166814249243,,-11.793166814249243,1
BNO,5,81.7176660519134,0.4,163.16159615010514,-81.53517541609897,2.001119091452757,1.334079394301838,16.34353321038268,262.02277384327914,-105.24587162021872,3
BP,1,41.48797404780809,1.0,41.48797404780809,,,,41.48797404780809,41.48797404780809,,0
BURL,1,-15.103015691001932,0.0,,-15.103015691001932,,0.0,-15.103015691001932,,-15.103015691001932,1
BWXT,2,-86.29927399376056,0.0,,-43.14963699688028,,0.0,-43.14963699688028,,-74.81553398058252,2
CASY,1,-26.05960157829308,0.0,,-26.05960157829308,,0.0,-26.05960157829308,,-26.05960157829308,1
CBOE,1,-22.971929843050567,0.0,,-22.971929843050567,,0.0,-22.971929843050567,,-22.971929843050567,1
CBRL,1,73.46021516297768,1.0,73.46021516297768,,,,73.46021516297768,73.46021516297768,,0
CME,1,38.996247775842065,1.0,38.996247775842065,,,,38.996247775842065,38.996247775842065,,0
CMG,1,31.37583116665008,1.0,31.37583116665008,,,,31.37583116665008,31.37583116665008,,0
CPB,1,-33.730432549488114,0.0,,-33.730432549488114,,0.0,-33.730432549488114,,-33.730432549488114,1
CSCO,1,5.28399323304012,1.0,5.28399323304012,,,,5.28399323304012,5.28399323304012,,0
CVS,1,-18.65667394224772,0.0,,-18.65667394224772,,0.0,-18.65667394224772,,-18.65667394224772,1
CVX,1,-23.545136206703905,0.0,,-23.545136206703905,,0.0,-23.545136206703905,,-23.545136206703905,1
DG,2,164.93084980698188,1.0,82.46542490349094,,,,82.46542490349094,88.7659091800136,,0
DKS,1,-18.170204108488473,0.0,,-18.170204108488473,,0.0,-18.170204108488473,,-18.170204108488473,1
DLTR,2,133.88715653745828,1.0,66.94357826872914,,,,66.94357826872914,71.87860278821448,,0
DOCU,1,166.6820944415507,1.0,166.6820944415507,,,,166.6820944415507,166.6820944415507,,0
DPZ,1,-21.252392492968454,0.0,,-21.252392492968454,,0.0,-21.252392492968454,,-21.252392492968454,1
F,1,3.805509815405882,1.0,3.805509815405882,,,,3.805509815405882,3.805509815405882,,0
FNF,1,-12.727995500118862,0.0,,-12.727995500118862,,0.0,-12.727995500118862,,-12.727995500118862,1
FSK,1,-21.21802245994631,0.0,,-21.21802245994631,,0.0,-21.21802245994631,,-21.21802245994631,1
GD,33,-289.61539670179627,0.36363636363636365,17.105307684385767,-23.565670900686925,0.7258570212778096,0.41477544073017686,-8.776224142478675,47.10748178251298,-53.87713310580205,11
GOOG,1,26.390617679077415,1.0,26.390617679077415,,,,26.390617679077415,26.390617679077415,,0
GOOGL,1,23.44469707711964,1.0,23.44469707711964,,,,23.44469707711964,23.44469707711964,,0
GS,1,17.57563746826926,1.0,17.57563746826926,,,,17.57563746826926,17.57563746826926,,0
HII,3,69.84038270852102,0.3333333333333333,108.14633462696756,-19.152975959223273,5.646450706000537,2.8232253530002684,23.280127569507005,108.14633462696756,-23.892036344200964,2
HLT,1,-34.683787198237596,0.0,,-34.683787198237596,,0.0,-34.683787198237596,,-34.683787198237596,1
ICE,1,-68.97849725731221,0.0,,-68.97849725731221,,0.0,-68.97849725731221,,-68.97849725731221,1
IOT,1,252.47444878989185,1.0,252.47444878989185,,,,252.47444878989185,252.47444878989185,,0
